date,vol,naive_vol,l_shrinkage
2021-08-12,0.0054310325413775,0.0057118087703755,0.6261583935579346
2021-08-13,0.0053669096606979,0.0056318938635165,0.6701931045419348
2021-08-16,0.005472882896963,0.0055400565176191,0.2701742363852437
2021-08-17,0.0053718479668104,0.0053848390516157,0.0555167176109124
2021-08-18,0.0047160402469467,0.0047509655597315,0.0
2021-08-19,0.0049572108877539,0.0049860259288133,0.000181964342813
2021-08-20,0.0050983397936678,0.0051676385996529,0.0
2021-08-23,0.0050853035403138,0.0051740759622371,3.26268312223848e-10
2021-08-24,0.0050394425153797,0.005147576456472,0.0
2021-08-25,0.0052235406029952,0.005340682415798,0.0
2021-08-26,0.005125086296966,0.005251035730742,0.0
2021-08-27,0.0050462158583767,0.0051389531953603,0.0
2021-08-30,0.0050661839954062,0.0051447735472178,6.2926695971466396e-18
2021-08-31,0.0052481732825407,0.0054544253009338,5.338955703924641e-17
2021-09-01,0.0057844198201204,0.0060207227865786,0.0
2021-09-02,0.0053334633058088,0.0056850268828497,0.0
2021-09-03,0.0052479692271994,0.0056070622527908,0.0
2021-09-07,0.0055915787388683,0.0058397566893078,0.0
2021-09-08,0.0056035871347029,0.0058129051617783,0.0
2021-09-09,0.0057034255710886,0.0059441979216308,0.0
2021-09-10,0.0053931734006166,0.0057333352985477,0.0
2021-09-13,0.0057529178172261,0.0060466355946542,0.0
2021-09-14,0.0058056241445047,0.0060802001223728,1.987760938554429e-18
2021-09-15,0.0057261822575662,0.0060058859051102,2.4890138842406053e-17
2021-09-16,0.0064124132307069,0.0065630664297833,5.272889127593926e-18
2021-09-17,0.0063843175618425,0.0064679681781789,0.0
2021-09-20,0.0060863200535656,0.0060863139887755,0.0892192580565678
2021-09-21,0.0061525329615253,0.0061639055876279,0.1541628447020125
2021-09-22,0.0063325830073222,0.0065086173333802,0.4046103923160139
2021-09-23,0.0061965589124769,0.0063429389970944,0.4017408069993387
2021-09-24,0.0062663505278624,0.0063369600348957,0.2623284139433576
2021-09-27,0.0062079714388868,0.0063221596346785,0.2925118448652019
2021-09-28,0.0056966606944618,0.0059361270090466,0.4565326388978947
2021-09-29,0.0058174056739261,0.0061289068967273,0.4466931323016909
2021-09-30,0.0050574779709534,0.005524351417297,0.4498739036058139
2021-10-01,0.004971661987536,0.0054978037575086,0.4729586011533013
2021-10-04,0.0048856661302665,0.0054287454546546,0.4704005317711144
2021-10-05,0.0047870298584413,0.00533264786678,0.4803052499874548
2021-10-06,0.0049597983332545,0.0055605243982659,0.5016691557701566
2021-10-07,0.0050410852802403,0.0057260226653126,0.5205092678497711
2021-10-08,0.0049365941023679,0.0055251361764077,0.5158352820001547
2021-10-11,0.0045746505597048,0.0050336728697785,0.4426345373797536
2021-10-12,0.0045633014642393,0.0050107748411007,0.4347528090974735
2021-10-13,0.0045826771380484,0.0049659116293944,0.4038730675904491
2021-10-14,0.0041194838119283,0.0046748491970975,0.5234088121370359
2021-10-15,0.004227292186382,0.0046062942433122,0.4456193901358046
2021-10-18,0.0041220214805923,0.0045119862902935,0.4555384121345018
2021-10-19,0.0039793993766857,0.0044437616138809,0.4664466243289041
2021-10-20,0.0037907387454379,0.0040316024276263,0.3845245863665441
2021-10-21,0.0038396560073239,0.0041462094904359,0.3959988085516253
2021-10-22,0.0038972397403937,0.0041964523044298,0.3897489169961959
2021-10-25,0.0038917271080953,0.0042098585026505,0.3961460192183927
2021-10-26,0.0039503183703463,0.0042357022757551,0.3824436248550933
2021-10-27,0.0033069075968557,0.0036165471103068,0.4155104523462962
2021-10-28,0.0035104217868667,0.0035132229442817,0.1541628423796723
2021-10-29,0.0035224857412157,0.003550342363603,0.189405777076763
2021-11-01,0.0060673978592612,0.0060598828022624,0.1359001538658635
2021-11-02,0.0062004074172759,0.0062181906148441,0.0766040662569415
2021-11-03,0.0069581937636351,0.0069360056396264,0.1301380102506234
2021-11-04,0.0068900399823386,0.006860260534359,0.1357541298324738
2021-11-05,0.0070606899943433,0.0070794506340645,0.0198471383945212
2021-11-08,0.0070040157259333,0.0070676061115061,3.4362583074168045e-10
2021-11-09,0.0072795645988642,0.0073287071485948,1.0003707201867e-08
2021-11-10,0.0073191935694733,0.0073797430978397,1.9574637037817234e-08
2021-11-11,0.0075011901320213,0.0075457955334874,1.2117990635403788e-10
2021-11-12,0.0078435164537544,0.0078804909325051,0.0695214450491137
2021-11-15,0.0079503711338007,0.0079360346382921,0.1291207325066574
2021-11-16,0.0082050983686487,0.0082474125598965,1.1738721303568296e-09
2021-11-17,0.0084663549497928,0.0084880368367737,0.014574966369344
2021-11-18,0.0085861691131377,0.0086411848334193,4.0783851120438406e-17
2021-11-19,0.008434506046085,0.008521700712107,3.307448962456536e-17
2021-11-22,0.0084140398755157,0.0085105419890635,0.0
2021-11-23,0.0084615812761563,0.0085316210962559,2.5321127524636008e-08
2021-11-24,0.0084484951169762,0.0085187373441477,7.089859975568903e-09
2021-11-26,0.0084603004902601,0.0085212966006289,1.8772416122058318e-10
2021-11-29,0.0085318992171215,0.0085540928733261,0.010746020830962
2021-11-30,0.0063257912364502,0.0063388927264927,0.0492053413975181
2021-12-01,0.0053737533070655,0.0054507499801874,0.0
2021-12-02,0.0050528724189919,0.0051093346383805,0.3041725394494418
2021-12-03,0.0050609605985269,0.0050786255886326,0.0
2021-12-06,0.005229927290678,0.0052573836676097,0.1570606361940835
2021-12-07,0.0054231940796439,0.0054298454970358,0.1541628423796723
2021-12-08,0.005468029035041,0.0055054759280909,0.0
2021-12-09,0.005432722710572,0.0054604457047264,0.0
2021-12-10,0.0053034282427891,0.0053324998967267,0.0
2021-12-13,0.0048126873936478,0.0048300278904152,0.0486048462807136
2021-12-14,0.0048974024490272,0.0048972579656923,0.1143299834628911
2021-12-15,0.0040342773687503,0.0040409453858145,0.0862876762259804
2021-12-16,0.0034377293722505,0.0035352826433433,4.547473508864641e-05
2021-12-17,0.0039147935692288,0.0039804477656763,3.5942057516125276e-18
2021-12-20,0.0038422472167263,0.0039160839347745,0.0
2021-12-21,0.0045708941864024,0.0046167348392178,0.0069849193096603
2021-12-22,0.0048584254355156,0.0049777168547999,0.4278825514609226
2021-12-23,0.004697863128454,0.0048432061585577,0.4434303873372242
2021-12-27,0.0044675463779249,0.0045021534084995,0.1541628423796723
2021-12-28,0.0049314284373524,0.005160679060738,0.357717668249647
2021-12-29,0.0049194490959281,0.0052337998150293,0.3741659584204574
2021-12-30,0.0064020231926688,0.0065679253150058,0.3272457861673532
2021-12-31,0.0069475960688081,0.0071763761140423,0.3305406414286789
