date,10y,BEST_EPS,CORR_COEF,DVD_PAYOUT_RATIO,DVD_SH_LAST,NET_AGGTE_DVD_YLD,NET_DEBT_TO_EBITDA,PE_RATIO,PX_TO_BOOK_RATIO,SHORT_AND_LONG_TERM_DEBT,acc_rate,bbb_credit,default_yield,erp,est_pe,global_bonds_total_r,indust_prod,inflation_total_r,libor3m,sentiment,spread,spx,spx_add,spx_add_bid,tail,ts
2021-02-17,1.2703,123.8674,0.978965,58.8333,0.641933,1.47,1.6587,30.1815,4.3543,1169.8079,3.48027397260274e-05,218.14,2.69,134.76,3931.33,547.8368,0.62,392.1074,0.18138,45.5,34.54999999999973,-0.0003203995331321208,3931.33,3896.78,356.2,116.335
2021-02-18,1.2956,123.8158,0.978963,58.8333,0.143693,1.48,1.659,30.0482,4.3351,1169.8079,3.5495890410958905e-05,213.62,2.71,134.05,3913.97,547.8215,0.62,390.4241,0.18238,47.1,31.549999999999727,-0.004415808390544673,3913.97,3882.42,354.72,118.668
2021-02-19,1.3364,124.2778,0.978946,58.8333,0.229776,1.48,1.659,29.9925,4.327,1169.8079,3.661369863013699e-05,208.36,2.65,134.97,3906.71,547.8624,0.62,389.2606,0.17525,47.1,29.139999999999873,-0.0018548941356217874,3906.71,3877.57,353.98,122.547
2021-02-22,1.3653,124.3852,0.978653,58.8333,0.322804,1.49,1.659,29.7605,4.2936,1169.8079,0.0001122164383561644,211.47,2.64,134.55,3876.5,547.8397,0.62,390.021,0.1755,47.1,28.590000000000146,-0.007732849379657014,3876.5,3847.91,351.34,124.869
2021-02-23,1.3416,173.3282,0.978658,62.6954,0.079828,1.49,1.5795,30.9356,4.2319,1143.7075,3.675616438356164e-05,218.67,2.72,134.88,3881.37,547.7269,0.62,389.9388,0.1875,47.1,42.059999999999945,0.0012562878885591378,3881.37,3839.31,351.69,122.667
2021-02-24,1.3756,173.2019,0.978668,62.7701,0.04756,1.47,1.6034,31.4323,4.2865,1139.5532,3.768767123287671e-05,216.71,2.65,136.93,3925.43,545.9423,0.62,387.9404,0.18975,47.1,31.609999999999673,0.01135166191319037,3925.43,3893.82,355.49,124.867
2021-02-25,1.5199,173.1614,0.978494,62.7243,0.548999,1.51,1.6436,30.4746,4.1971,1140.8308,4.164109589041096e-05,213.53,2.77,135.16,3829.34,544.3751,0.62,390.3927,0.1905,45.9,53.65000000000009,-0.024478846903396523,3829.34,3775.69,350.07,134.198
2021-02-26,1.4049,173.3483,0.978202,62.5845,0.438569,1.52,1.6441,30.1522,4.1781,1156.3059,3.849041095890411e-05,225.51,2.85,133.64,3811.15,544.272,0.62,388.644,0.18838,45.9,31.340000000000146,-0.004750165824920272,3811.15,3779.81,346.2,127.209
2021-03-01,1.417,173.6416,0.978209,60.2349,0.09747,1.48,1.4564,30.9441,4.2819,1155.7302,0.00011646575342465755,214.99,2.72,136.81,3901.82,543.9696,-3.35,388.6193,0.18425,45.9,22.670000000000073,0.023790719336683086,3901.82,3879.15,353.46,129.394
2021-03-02,1.3914,173.7041,0.978192,60.2542,0.018952,1.49,1.458,30.6932,4.2471,1153.1888,3.812054794520548e-05,217.49,2.72,135.47,3870.29,544.6158,-3.35,390.0827,0.18338,45.9,31.759999999999764,-0.008080844323930969,3870.29,3838.53,350.66,126.639
