date,irl
2003-03-21,[[0.16563982]]
2003-03-24,[[0.16752225]]
2003-03-25,[[0.10928085]]
2003-03-26,[[0.13074341]]
2003-03-27,[[0.11490899]]
2003-03-28,[[0.119477]]
2003-03-31,[[0.10939267]]
2003-04-01,[[0.09609029]]
2003-04-02,[[0.09830818]]
2003-04-03,[[0.1028989]]
2003-04-04,[[0.10141507]]
2003-04-07,[[0.10840729]]
2003-04-08,[[0.10699299]]
2003-04-09,[[0.10261434]]
2003-04-10,[[0.09550497]]
2003-04-11,[[0.09816375]]
2003-04-14,[[0.11107948]]
