date,irl
2001-07-06,[[0.15493265]]
2001-07-09,[[0.3516255]]
2001-07-10,[[0.14998105]]
2001-07-11,[[0.14822564]]
2001-07-12,[[0.14695078]]
2001-07-13,[[0.13855985]]
2001-07-16,[[0.13846853]]
2001-07-17,[[0.13789424]]
2001-07-18,[[0.13825768]]
2001-07-19,[[0.13464463]]
2001-07-20,[[0.13374686]]
2001-07-23,[[0.12786028]]
2001-07-24,[[0.12522575]]
2001-07-25,[[0.3641836]]
2001-07-26,[[0.12379023]]
2001-07-27,[[0.12486023]]
2001-07-30,[[0.12514609]]
2001-07-31,[[0.32635683]]
2001-08-01,[[0.13105738]]
2001-08-02,[[0.13131115]]
2001-08-03,[[0.3044956]]
2001-08-06,[[0.3716904]]
2001-08-07,[[0.34395066]]
2001-08-08,[[0.35137492]]
2001-08-09,[[0.3571779]]
2001-08-10,[[0.4664508]]
2001-08-13,[[0.3834203]]
2001-08-14,[[0.38431537]]
2001-08-15,[[0.3827563]]
2001-08-16,[[0.4564117]]
2001-08-17,[[0.3836999]]
2001-08-20,[[0.14706999]]
2001-08-21,[[0.154169]]
2001-08-22,[[0.16000655]]
2001-08-23,[[0.16064924]]
2001-08-24,[[0.16100404]]
2001-08-27,[[0.16411617]]
2001-08-28,[[0.16517651]]
2001-08-29,[[0.16479415]]
2001-08-30,[[0.16309214]]
2001-08-31,[[0.1627714]]
2001-09-04,[[0.16863105]]
2001-09-05,[[0.16744432]]
2001-09-06,[[0.16648453]]
2001-09-07,[[0.16750738]]
2001-09-10,[[0.16821036]]
2001-09-17,[[0.16506234]]
2001-09-18,[[0.13543373]]
2001-09-19,[[0.12237799]]
2001-09-20,[[0.12070608]]
2001-09-21,[[0.15896118]]
2001-09-24,[[0.1158348]]
2001-09-25,[[0.21464404]]
2001-09-26,[[0.19558564]]
2001-09-27,[[0.0885717]]
2001-09-28,[[0.08382046]]
2001-10-01,[[0.07585976]]
2001-10-02,[[0.14032]]
2001-10-03,[[0.29424322]]
2001-10-04,[[0.14762399]]
2001-10-05,[[0.16017166]]
2001-10-08,[[0.16344842]]
2001-10-09,[[0.26434034]]
2001-10-10,[[0.16431144]]
2001-10-11,[[0.20235515]]
2001-10-12,[[0.19627124]]
2001-10-15,[[0.22484663]]
2001-10-16,[[0.24715078]]
2001-10-17,[[0.4437303]]
2001-10-18,[[0.39232403]]
2001-10-19,[[0.5724253]]
2001-10-22,[[0.2795417]]
2001-10-23,[[0.34036815]]
2001-10-24,[[0.34737724]]
2001-10-25,[[0.5218443]]
2001-10-26,[[0.37732127]]
2001-10-29,[[0.28908998]]
2001-10-30,[[0.30715755]]
2001-10-31,[[0.6504378]]
2001-11-01,[[0.7071527]]
2001-11-02,[[0.65431416]]
2001-11-05,[[0.6903492]]
2001-11-06,[[0.850753]]
2001-11-07,[[0.8459327]]
2001-11-08,[[0.83786005]]
2001-11-09,[[0.7614008]]
2001-11-12,[[0.85929024]]
2001-11-13,[[0.8276217]]
2001-11-14,[[0.5222783]]
2001-11-15,[[0.7459252]]
2001-11-16,[[0.748019]]
2001-11-19,[[0.81661993]]
2001-11-20,[[0.6487073]]
2001-11-21,[[0.6489511]]
2001-11-23,[[0.82835066]]
2001-11-26,[[0.8371063]]
2001-11-27,[[0.75576705]]
2001-11-28,[[0.81123376]]
2001-11-29,[[0.688028]]
2001-11-30,[[0.67693317]]
2001-12-03,[[0.85813725]]
2001-12-04,[[0.67645705]]
2001-12-05,[[0.6995355]]
2001-12-06,[[0.6330128]]
2001-12-07,[[0.5168855]]
2001-12-10,[[0.5618137]]
2001-12-11,[[0.4279008]]
2001-12-12,[[0.43184987]]
2001-12-13,[[0.6234083]]
2001-12-14,[[0.6688583]]
2001-12-17,[[0.50367004]]
2001-12-18,[[0.67119825]]
2001-12-19,[[0.6733207]]
2001-12-20,[[0.6726843]]
2001-12-21,[[0.6755625]]
2001-12-24,[[0.6767078]]
2001-12-26,[[0.669214]]
2001-12-27,[[0.7426695]]
2001-12-28,[[0.79511976]]
2001-12-31,[[0.7793837]]
2002-01-02,[[0.42281502]]
2002-01-03,[[0.37250733]]
2002-01-04,[[0.40097737]]
2002-01-07,[[0.38293308]]
2002-01-08,[[0.38425267]]
2002-01-09,[[0.38291192]]
2002-01-10,[[0.38009894]]
2002-01-11,[[0.41593957]]
2002-01-14,[[0.5354654]]
2002-01-15,[[0.37892765]]
2002-01-16,[[0.3832497]]
2002-01-17,[[0.51750183]]
2002-01-18,[[0.5030708]]
2002-01-22,[[0.6724551]]
2002-01-23,[[0.38340092]]
2002-01-24,[[0.4040838]]
2002-01-25,[[0.17239386]]
2002-01-28,[[0.36196727]]
2002-01-29,[[0.3659619]]
2002-01-30,[[0.17017162]]
2002-01-31,[[0.37904963]]
2002-02-01,[[0.37960252]]
2002-02-04,[[0.3790493]]
2002-02-05,[[0.41789365]]
2002-02-06,[[0.38716775]]
2002-02-07,[[0.49340165]]
2002-02-08,[[0.3494882]]
2002-02-11,[[0.35176206]]
2002-02-12,[[0.16386569]]
2002-02-13,[[0.1642358]]
2002-02-14,[[0.32953283]]
