date,irl
2002-12-02,[[0.5208614]]
2002-12-03,[[0.3411389]]
2002-12-04,[[0.33383685]]
2002-12-05,[[0.33324456]]
2002-12-06,[[0.34001923]]
2002-12-09,[[0.34364974]]
2002-12-10,[[0.3142224]]
2002-12-11,[[0.15108714]]
2002-12-12,[[0.14893201]]
2002-12-13,[[0.13934287]]
2002-12-16,[[0.15241235]]
2002-12-17,[[0.16105846]]
2002-12-18,[[0.15251511]]
2002-12-19,[[0.14912403]]
2002-12-20,[[0.15152785]]
2002-12-23,[[0.13861576]]
2002-12-24,[[0.11709443]]
2002-12-26,[[0.02957115]]
2002-12-27,[[0.02711648]]
2002-12-30,[[0.02701971]]
2002-12-31,[[0.02923679]]
2003-01-02,[[0.03320891]]
2003-01-03,[[0.02892023]]
2003-01-06,[[0.02964413]]
2003-01-07,[[0.03024629]]
2003-01-08,[[0.03074917]]
2003-01-09,[[0.03152251]]
2003-01-10,[[0.03224683]]
2003-01-13,[[0.03093374]]
2003-01-14,[[0.03304824]]
2003-01-15,[[0.02928522]]
2003-01-16,[[0.03391129]]
2003-01-17,[[0.03497508]]
2003-01-21,[[0.03882164]]
2003-01-22,[[0.03524595]]
2003-01-23,[[0.0365513]]
2003-01-24,[[0.03971168]]
2003-01-27,[[0.03378788]]
2003-01-28,[[0.03252235]]
2003-01-29,[[0.03304768]]
2003-01-30,[[0.03313565]]
2003-01-31,[[0.03401205]]
2003-02-03,[[0.0812242]]
2003-02-04,[[0.228526]]
2003-02-05,[[0.21965948]]
2003-02-06,[[0.21669918]]
2003-02-07,[[0.22057354]]
2003-02-10,[[0.20361212]]
2003-02-11,[[0.1848444]]
2003-02-12,[[0.19822976]]
2003-02-13,[[0.19300795]]
2003-02-14,[[0.06682041]]
2003-02-18,[[0.12383547]]
2003-02-19,[[0.11850524]]
2003-02-20,[[0.04795906]]
2003-02-21,[[0.06903791]]
2003-02-24,[[0.10911891]]
2003-02-25,[[0.03638369]]
2003-02-26,[[0.06311202]]
2003-02-27,[[0.08155599]]
2003-02-28,[[0.08373067]]
2003-03-03,[[0.06995666]]
2003-03-04,[[0.13832822]]
2003-03-05,[[0.12859362]]
2003-03-06,[[0.13482976]]
2003-03-07,[[0.1349326]]
2003-03-10,[[0.14762011]]
2003-03-11,[[0.14033985]]
2003-03-12,[[0.14942461]]
2003-03-13,[[0.15938815]]
2003-03-14,[[0.16884163]]
2003-03-17,[[0.13894913]]
2003-03-18,[[0.03447583]]
2003-03-19,[[0.03671512]]
2003-03-20,[[0.12130314]]
2003-03-21,[[0.11677253]]
2003-03-24,[[0.12315479]]
2003-03-25,[[0.25255424]]
2003-03-26,[[0.14300337]]
2003-03-27,[[0.03144205]]
2003-03-28,[[0.03013986]]
2003-03-31,[[0.02890214]]
2003-04-01,[[0.24718326]]
2003-04-02,[[0.12801719]]
2003-04-03,[[0.03260532]]
2003-04-04,[[0.04996172]]
2003-04-07,[[0.02965108]]
2003-04-08,[[0.12250531]]
2003-04-09,[[0.13705602]]
2003-04-10,[[0.12697208]]
2003-04-11,[[0.12846684]]
2003-04-14,[[0.12653378]]
