date,irl_gail
2002-01-07,[[0.38888764]]
2002-01-08,[[0.3764258]]
2002-01-09,[[0.3726434]]
2002-01-10,[[0.3684898]]
2002-01-11,[[0.40328413]]
2002-01-14,[[0.5474347]]
2002-01-15,[[0.36453968]]
2002-01-16,[[0.36949465]]
2002-01-17,[[0.5179471]]
2002-01-18,[[0.50572145]]
2002-01-22,[[0.6937247]]
2002-01-23,[[0.36917013]]
2002-01-24,[[0.3898762]]
2002-01-25,[[0.20022711]]
2002-01-28,[[0.35294026]]
2002-01-29,[[0.36147535]]
2002-01-30,[[0.20049241]]
2002-01-31,[[0.38836485]]
2002-02-01,[[0.38594905]]
2002-02-04,[[0.38594395]]
2002-02-05,[[0.42614743]]
2002-02-06,[[0.39614668]]
2002-02-07,[[0.50309896]]
2002-02-08,[[0.3697886]]
2002-02-11,[[0.37857595]]
2002-02-12,[[0.1987859]]
2002-02-13,[[0.19755122]]
2002-02-14,[[0.34881002]]
2002-02-15,[[0.36580545]]
2002-02-19,[[0.39427176]]
2002-02-20,[[0.42810217]]
2002-02-21,[[0.5515772]]
2002-02-22,[[0.39540693]]
2002-02-25,[[0.40113068]]
2002-02-26,[[0.42336708]]
2002-02-27,[[0.545082]]
2002-02-28,[[0.5256479]]
2002-03-01,[[0.5796468]]
2002-03-04,[[0.38820398]]
2002-03-05,[[0.8579524]]
2002-03-06,[[0.4100335]]
2002-03-07,[[0.4077752]]
2002-03-08,[[0.6069423]]
2002-03-11,[[0.41276085]]
2002-03-12,[[0.37845504]]
2002-03-13,[[0.4033249]]
2002-03-14,[[0.40411314]]
2002-03-15,[[0.3886948]]
2002-03-18,[[0.17577222]]
2002-03-19,[[0.3391896]]
2002-03-20,[[0.17460504]]
2002-03-21,[[0.41341513]]
2002-03-22,[[0.18172795]]
2002-03-25,[[0.36696318]]
2002-03-26,[[0.4072491]]
2002-03-27,[[0.34427422]]
2002-03-28,[[0.3978169]]
2002-04-01,[[0.5669994]]
2002-04-02,[[0.40591246]]
2002-04-03,[[0.34767935]]
2002-04-04,[[0.5667562]]
2002-04-05,[[0.38545427]]
2002-04-08,[[0.19465175]]
2002-04-09,[[0.37664908]]
2002-04-10,[[0.36502147]]
2002-04-11,[[0.8644953]]
2002-04-12,[[0.4114322]]
2002-04-15,[[0.3951199]]
2002-04-16,[[0.4745889]]
2002-04-17,[[0.48625207]]
2002-04-18,[[0.40891415]]
2002-04-19,[[0.40736017]]
2002-04-22,[[0.38641763]]
2002-04-23,[[0.37668812]]
2002-04-24,[[0.52567863]]
2002-04-25,[[0.4137165]]
2002-04-26,[[0.40646338]]
2002-04-29,[[0.36770123]]
2002-04-30,[[0.41475254]]
2002-05-01,[[0.40405682]]
2002-05-02,[[0.40270832]]
2002-05-03,[[0.40137255]]
2002-05-06,[[0.40715092]]
2002-05-07,[[0.40834156]]
2002-05-08,[[0.35596025]]
2002-05-09,[[0.37509048]]
2002-05-10,[[0.4108436]]
2002-05-13,[[0.23468122]]
2002-05-14,[[0.38292056]]
2002-05-15,[[0.7001059]]
2002-05-16,[[0.19108245]]
2002-05-17,[[0.3758468]]
2002-05-20,[[0.19231239]]
2002-05-21,[[0.3819165]]
2002-05-22,[[0.3623594]]
2002-05-23,[[0.19079748]]
2002-05-24,[[0.1963233]]
2002-05-28,[[0.19162834]]
2002-05-29,[[0.6519773]]
2002-05-30,[[0.68560964]]
2002-05-31,[[0.6568644]]
2002-06-03,[[0.6933248]]
2002-06-04,[[0.66104317]]
2002-06-05,[[0.5820669]]
2002-06-06,[[0.58806705]]
2002-06-07,[[0.5032126]]
2002-06-10,[[0.6480614]]
2002-06-11,[[0.18478572]]
2002-06-12,[[0.39175943]]
2002-06-13,[[0.18831417]]
2002-06-14,[[0.18761379]]
2002-06-17,[[0.39219055]]
2002-06-18,[[0.18025896]]
2002-06-19,[[0.18200123]]
2002-06-20,[[0.18260995]]
2002-06-21,[[0.185864]]
2002-06-24,[[0.18812522]]
2002-06-25,[[0.19200963]]
2002-06-26,[[0.19357911]]
2002-06-27,[[0.19863567]]
2002-06-28,[[0.20066449]]
2002-07-01,[[0.2039572]]
2002-07-02,[[0.1989781]]
2002-07-03,[[0.19933045]]
2002-07-05,[[0.20713285]]
2002-07-08,[[0.19856632]]
2002-07-09,[[0.19749954]]
2002-07-10,[[0.19440335]]
2002-07-11,[[0.19141293]]
2002-07-12,[[0.4092021]]
2002-07-15,[[0.19694111]]
2002-07-16,[[0.1937269]]
2002-07-17,[[0.20493007]]
2002-07-18,[[0.20986947]]
2002-07-19,[[0.22614819]]
2002-07-22,[[0.23243332]]
2002-07-23,[[0.22724527]]
2002-07-24,[[0.23473027]]
2002-07-25,[[0.21527952]]
2002-07-26,[[0.21882793]]
2002-07-29,[[0.21228322]]
2002-07-30,[[0.19795045]]
2002-07-31,[[0.19805896]]
2002-08-01,[[0.20438668]]
2002-08-02,[[0.20921895]]
2002-08-05,[[0.20784086]]
2002-08-06,[[0.20474616]]
2002-08-07,[[0.19769815]]
2002-08-08,[[0.20129243]]
2002-08-09,[[0.20497751]]
2002-08-12,[[0.20241511]]
2002-08-13,[[0.20137155]]
2002-08-14,[[0.19591013]]
2002-08-15,[[0.38120872]]
2002-08-16,[[0.38898206]]
2002-08-19,[[0.32086533]]
2002-08-20,[[0.17613968]]
2002-08-21,[[0.1709733]]
2002-08-22,[[0.39286664]]
2002-08-23,[[0.15761015]]
2002-08-26,[[0.38042253]]
2002-08-27,[[0.1442425]]
2002-08-28,[[0.5436955]]
2002-08-29,[[0.13703057]]
2002-08-30,[[0.31588393]]
2002-09-03,[[0.14626718]]
2002-09-04,[[0.12915546]]
2002-09-05,[[0.3245545]]
2002-09-06,[[0.13577288]]
2002-09-09,[[0.14037815]]
2002-09-10,[[0.13190407]]
2002-09-11,[[0.13513759]]
2002-09-12,[[0.5980926]]
2002-09-13,[[0.1364623]]
2002-09-16,[[0.14186576]]
2002-09-17,[[0.35745582]]
2002-09-18,[[0.15090641]]
2002-09-19,[[0.16107592]]
2002-09-20,[[0.16823086]]
2002-09-23,[[0.17289808]]
2002-09-24,[[0.17360288]]
2002-09-25,[[0.18541375]]
2002-09-26,[[0.1884945]]
2002-09-27,[[0.19149825]]
2002-09-30,[[0.18811351]]
2002-10-01,[[0.19255778]]
2002-10-02,[[0.19263306]]
2002-10-03,[[0.37422228]]
2002-10-04,[[0.5393203]]
2002-10-07,[[0.41061705]]
2002-10-08,[[0.42791492]]
2002-10-09,[[0.38060737]]
2002-10-10,[[0.46215788]]
2002-10-11,[[0.596776]]
2002-10-14,[[0.58617127]]
2002-10-15,[[0.5964155]]
2002-10-16,[[0.7224]]
2002-10-17,[[0.7169654]]
2002-10-18,[[0.64305013]]
2002-10-21,[[0.63895273]]
2002-10-22,[[0.63989913]]
2002-10-23,[[0.8306422]]
2002-10-24,[[0.65350616]]
2002-10-25,[[0.8118974]]
2002-10-28,[[0.6381251]]
2002-10-29,[[0.4075189]]
2002-10-30,[[0.4276827]]
2002-10-31,[[0.4850887]]
2002-11-01,[[0.48564458]]
2002-11-04,[[0.6393287]]
2002-11-05,[[0.65042734]]
2002-11-06,[[0.6430832]]
2002-11-07,[[0.5402653]]
2002-11-08,[[0.39855283]]
2002-11-11,[[0.46316963]]
2002-11-12,[[0.61483073]]
2002-11-13,[[0.38712186]]
2002-11-14,[[0.38700736]]
2002-11-15,[[0.32917547]]
2002-11-18,[[0.4912145]]
2002-11-19,[[0.39590037]]
2002-11-20,[[0.52810216]]
2002-11-21,[[0.3428355]]
2002-11-22,[[0.21695784]]
2002-11-25,[[0.34570664]]
2002-11-26,[[0.3508231]]
